Date	Hour	S1	S2	S3	S4	S5	S6	S7
01/01/2015	 0	76	78	82	73	69	75	68
01/01/2015	 1	76	78	82	73	68	75	70
01/01/2015	 2	76	78	82	73	69	75	68
01/01/2015	 3	76	78	82	72	69	75	71
01/01/2015	 4	76	78	82	72	69	75	67
01/01/2015	 5	76	78	82	72	69	75	70
01/01/2015	 6	76	78	82	72	68	75	67
01/01/2015	 7	76	78	82	72	69	75	70
01/01/2015	 8	76	78	82	72	69	75	70
01/01/2015	 9	76	78	82	72	69	75	68
01/01/2015	10	76	79	83	73	69	75	69
01/01/2015	11	76	79	83	73	68	76	70
01/01/2015	12	76	79	83	73	68	76	70
01/01/2015	13	77	79	84	73	69	76	67
01/01/2015	14	77	79	84	74	69	76	72
01/01/2015	15	77	79	83	73	69	76	72
01/01/2015	16	77	79	83	73	68	76	71
01/01/2015	17	77	79	84	73	69	76	69
01/01/2015	18	77	79	83	73	68	76	72
01/01/2015	19	77	79	83	73	69	76	72
01/01/2015	20	77	79	83	73	69	76	70
01/01/2015	21	77	79	83	73	69	76	70
01/01/2015	22	77	78	83	73	69	76	69
01/01/2015	23	77	79	83	73	68	76	68
01/02/2015	 0	77	79	83	73	69	76	71
01/02/2015	 1	77	79	83	73	69	76	68
01/02/2015	 2	77	78	83	73	69	76	68
01/02/2015	 3	77	79	83	73	69	76	69
01/02/2015	 4	77	78	83	73	69	76	71
01/02/2015	10	77	79	80	73	68	76	71
01/02/2015	18	77	79	83	73	68	77	72
01/02/2015	19	77	79	83	73	69	76	70
01/02/2015	20	77	79	83	73	69	76	70
01/02/2015	21	77	79	83	73	69	76	71
01/02/2015	22	77	79	83	73	69	76	68
01/02/2015	23	77	79	83	73	69	76	68
01/03/2015	 0	77	79	83	73	69	76	68
01/03/2015	 1	77	79	83	73	68	76	67
01/03/2015	 2	77	79	83	73	69	76	69
01/03/2015	 3	77	79	83	73	69	76	68
01/03/2015	 4	77	79	83	73	69	76	72
01/03/2015	 5	77	79	84	73	69	76	68
01/03/2015	 6	77	79	83	73	69	76	72
01/03/2015	 7	77	79	84	73	69	76	70
01/03/2015	 8	77	79	83	73	69	76	72
01/03/2015	 9	77	79	83	73	69	76	68
01/03/2015	10	77	79	83	73	69	76	67
01/03/2015	11	77	79	83	73	69	76	67
01/03/2015	12	77	79	83	73	69	76	67
01/03/2015	13	77	79	83	73	69	76	66
01/03/2015	14	77	79	84	73	69	76	66
01/03/2015	15	77	79	83	73	69	76	67
01/03/2015	16	77	79	83	73	69	76	69
01/03/2015	17	77	79	84	73	69	76	69
01/03/2015	18	77	79	83	73	69	76	64
01/03/2015	19	77	79	83	73	69	76	64
01/03/2015	20	77	79	83	73	69	76	64
01/03/2015	21	77	79	83	73	69	76	68
01/03/2015	22	77	78	83	73	69	76	68
01/03/2015	23	77	79	84	73	69	76	66
01/04/2015	 0	77	79	83	73	69	76	64
01/04/2015	 1	77	79	83	73	69	76	67
01/04/2015	 2	77	79	83	73	69	76	67
01/04/2015	 3	77	79	83	73	69	76	64
01/04/2015	 4	77	79	83	73	69	76	68
01/04/2015	 5	77	79	84	73	69	76	70
01/04/2015	 6	77	79	83	73	69	76	70
01/04/2015	 7	77	79	83	73	69	76	70
01/04/2015	 8	77	79	83	73	69	76	70
01/04/2015	 9	77	79	83	73	69	76	70
01/04/2015	10	77	79	83	73	69	76	71
01/04/2015	11	77	79	83	73	69	76	72
01/04/2015	12	77	79	83	73	69	76	68
01/04/2015	13	77	79	83	73	69	76	71
01/04/2015	14	77	79	83	73	69	76	69
01/04/2015	15	77	78	83	73	73	76	70
01/04/2015	16	77	78	82	73	68	76	70
01/04/2015	17	77	78	82	73	69	76	70
01/04/2015	18	77	78	82	73	69	76	68
01/04/2015	19	77	78	82	72	69	75	71
01/04/2015	20	77	78	82	72	69	75	72
01/04/2015	21	76	78	81	72	69	75	72
01/04/2015	22	76	78	81	72	69	75	72
01/04/2015	23	76	78	82	72	69	75	72
01/05/2015	 0	76	78	81	72	69	75	72
01/05/2015	 1	76	78	81	72	68	75	72
01/05/2015	 2	76	78	81	71	68	75	71
01/05/2015	 3	76	77	81	71	68	75	68
01/05/2015	 4	76	77	81	71	69	75	72
01/05/2015	 5	76	77	80	71	68	75	71
01/05/2015	 6	76	77	80	70	68	75	68
01/05/2015	 7	75	77	80	71	69	75	72
01/05/2015	 8	75	77	81	71	69	75	70
01/05/2015	 9	76	77	81	71	69	75	72
01/05/2015	10	76	78	78	71	69	75	68
01/05/2015	10	77	78	79	72	70	75	70
01/05/2015	11	77	78	79	72	70	75	69
01/05/2015	12	76	79	79	72	70	76	72
01/05/2015	17	76	80	79	73	70	76	71
01/06/2015	 8	75	77	81	71	68	75	68
01/06/2015	 9	76	78	78	71	70	75	71
01/06/2015	10	76	78	79	72	70	75	71
01/06/2015	11	77	78	80	72	70	75	67
01/06/2015	12	77	78	80	73	70	75	70
01/06/2015	13	77	78	81	81	70	75	68
01/06/2015	14	77	79	81	73	70	75	68
01/06/2015	15	77	79	81	73	70	75	70
01/06/2015	16	77	80	81	74	70	75	70
01/06/2015	17	77	80	81	73	70	75	70
01/06/2015	18	76	80	80	73	70	75	69
01/06/2015	19	76	79	80	73	70	75	70
01/06/2015	20	76	79	83	72	68	75	67
01/06/2015	21	76	78	82	72	68	75	67
01/06/2015	22	76	78	82	72	69	75	67
01/06/2015	23	76	77	82	72	68	75	69
01/07/2015	 0	76	77	82	72	68	75	69
01/07/2015	 1	76	77	82	72	68	75	68
01/07/2015	 2	76	77	81	72	68	75	69
01/07/2015	 3	76	77	81	71	68	75	68
01/07/2015	 4	76	77	82	71	68	75	67
01/07/2015	 5	76	77	81	71	68	75	72
01/07/2015	 6	76	77	81	71	69	75	70
01/07/2015	 7	76	77	81	71	69	75	67
01/07/2015	 8	76	77	81	71	68	74	72
01/07/2015	 9	76	77	81	71	68	75	71
01/07/2015	10	76	77	78	71	69	74	69
01/07/2015	11	75	78	79	72	69	75	69
01/07/2015	12	75	78	79	73	70	75	71
01/07/2015	13	75	78	80	73	70	76	69
01/07/2015	14	75	78	81	73	70	76	66
01/07/2015	15	75	78	80	73	70	76	71
01/07/2015	16	75	78	80	73	70	76	70
01/07/2015	17	75	77	81	73	70	76	68
01/07/2015	18	75	77	82	73	70	76	67
01/07/2015	19	76	77	82	72	68	76	71
01/07/2015	20	76	77	81	72	66	75	71
01/07/2015	21	76	77	82	72	68	75	71
01/07/2015	22	76	76	81	72	68	75	68
01/07/2015	23	76	76	81	72	68	75	68
01/08/2015	 0	76	76	81	71	68	75	71
01/08/2015	 1	76	76	81	71	68	74	72
01/08/2015	 2	76	76	81	71	68	74	69
01/08/2015	 3	76	76	80	71	68	74	70
01/08/2015	 4	76	76	81	71	68	74	72
01/08/2015	 5	76	76	80	70	68	74	68
