Year	Month	Temp_F	E_kWh_per_Day	E_Cost	Gas_Th_per_Day	Gas_Cost	Water_Gals_per_Day	Water_Cost
1998	8	70	22.4	77	0.5	15	62	10
1998	9	70	22.4	77	0.5	15	62	10
1998	10	53	8.6	33	2.2	35	62	10
1998	11	44	7.6	33	3.7	50	62	10
1998	12	35	10.0	39	5.9	82	62	10
1999	1	22	11.6	45	8.2	93	62	10
1999	2	34	8.4	32	5.8	64	75	11
1999	3	35	8.1	31	4.9	61	75	11
1999	4	47	7.3	29	2.8	38	75	11
1999	5	59	10.9	38	1.6	30	79	12
1999	6	71	15.9	60	0.7	18	79	12
1999	7	78	40.9	128	0.7	18	79	12
1999	8	72	32.5	100	0.8	20	63	10
1999	9	66	26.7	92	0.8	20	63	10
1999	10	52	21.1	64	1.9	38	63	10
1999	11	49	13.4	51	3.7	63	62	10
1999	12	31	9.9	37	5.8	94	62	10
2000	1	26	9.8	41	7.5	108	62	10
2000	2	34	11.0	38	5.2	70	88	13
2000	3	44	16.1	54	3.1	51	88	13
2000	4	44	16.9	53	2.6	46	88	13
2000	5	60	20.9	69	1.0	25	81	12
2000	6	67	26.2	83	0.7	22	81	12
2000	7	70	34.2	109	0.7	22	81	12
2000	8	70	43.2	143	0.9	28	194	23
2000	9	64	37.2	117	0.9	28	194	23
2000	10	55	22.9	66	1.6	46	194	23
2000	11	40	24.3	78	4.2	114	95	13
2000	12	20	22.5	70	6.7	182	95	13
2001	1	25	16.3	59	7.6	249	95	13
2001	2	27	22.6	63	5.6	191	101	14
2001	3	35	20.4	62	4.5	115	101	14
2001	4	50	22.7	70	1.8	47	101	14
2001	5	61	26.9	76	1.4	39	121	16
2001	6	66	27.3	88	0.8	22	121	16
2001	7	74	44.3	143	0.8	22	121	16
2001	8	73	42.9	134	0.9	20	155	19
2001	9	63	33.4	103	0.9	20	155	19
2001	10	52	25.7	70	2.1	30	155	19
2001	11	48	24.8	71	2.5	37	81	12
2001	12	35	28.1	87	4.6	62	81	12
2002	1	31	20.5	62	6.3	83	81	12
2002	2	32	18.6	55	5.4	66	127	19
2002	3	34	18.2	57	5.3	72	127	19
2002	4	48	19.7	57	2.3	39	86	15
2002	5	53	24.4	69	1.3	31	86	15
2002	6	70	46.9	134	0.8	22	172	24
2002	7	76	53.7	162	0.8	22	172	24
2002	8	73	48.2	142	0.7	20	403	41
2002	9	68	44.8	136	0.7	20	403	41
2002	10	53	31.0	76	2.7	57	92	15
2002	11	39	31.9	90	4.3	91	92	15
2002	12	30	27.1	89	5.5	117	98	16
2003	1	20	29.9	81	7.3	144	98	16
2003	2	24	28.2	77	7.0	165	101	16
2003	3	35	22.3	61	3.7	121	101	16
2003	4	47	25.7	70	2.5	68	123	19
2003	5	55	27.7	76	1.1	35	123	19
2003	6	63	29.1	94	0.8	29	172	24
2003	7	69	51.7	152	0.8	29	172	24
2003	8	70	45.0	129	0.9	29	217	28
2003	9	61	30.5	99	0.9	29	217	28
2003	10	50	20.7	59	1.6	48	116	17
2003	11	43	27.0	72	4.9	113	116	17
2003	12	31	21.7	71	5.2	132	74	14
2004	1	20	22.7	70	8.5	217	74	14
2004	2	27	24.2	67	5.4	117	86	15
2004	3	40	23.5	65	4.6	105	86	15
2004	4	50	26.7	72	2.3	61	139	20
2004	5	61	39.5	96	1.2	36	139	20
2004	6	67	30.5	101	0.8	30	123	19
2004	7	70	43.9	130	0.8	30	123	19
2004	8	66	36.7	117	0.6	23	210	26
2004	9	66	44.3	123	0.6	23	210	26
2004	10	52	21.1	60	1.8	50	135	20
2004	11	45	20.8	67	3.2	94	135	20
2004	12	27	20.6	62	5.3	155	74	14
2005	1	25	24.5	74	6.8	175	74	14
2005	2	31	22.6	63	5.2	142	101	16
2005	3	34	23.1	64	3.7	97	101	16
2005	4	52	20.9	60	2.1	67	98	16
2005	5	56	21.5	65	1.1	41	98	16
2005	6	74	41.8	120	0.7	27	245	31
2005	7	75	41.5	123	0.7	27	245	31
2005	8	72	41.2	114	0.6	27	193	26
2005	9	69	34.5	113	0.6	27	193	26
2005	10	55	22.2	62	1.6	73	107	18
2005	11	42	23.8	71	3.8	172	107	18
2005	12	21	27.0	74	5.1	211	83	15
2006	1	34	28.2	83	4.7	176	83	15
2006	2	27	28.9	76	5.1	173	107	16
2006	3	36	28.0	76	3.4	87	107	16
2006	4	53	25.4	67	1.6	51	98	16
2006	5	58	26.5	79	1.0	35	98	16
