Date	Hour	S1	S2	S3	S4	S5	S6	S7
01/01/2008	 0	63	72	74	74	69	73	68
01/01/2008	 1	63	72	74	74	69	73	68
01/01/2008	 2	62	72	73	74	69	73	68
01/01/2008	 3	62	72	73	74	69	73	67
01/01/2008	 4	62	72	73	74	69	73	67
01/01/2008	 5	62	72	73	74	69	73	67
01/01/2008	 6	62	72	73	74	69	73	67
01/01/2008	 7	62	72	73	74	69	73	67
01/01/2008	 8	62	72	73	74	69	73	67
01/01/2008	 9	63	72	73	74	69	73	67
01/01/2008	10	63	72	73	74	69	73	68
01/01/2008	11	63	72	73	74	69	73	68
01/01/2008	12	63	72	73	74	70	73	68
01/01/2008	13	63	72	73	74	69	73	68
01/01/2008	14	63	72	73	74	69	73	68
01/01/2008	15	63	72	76	74	69	73	68
01/01/2008	16	63	72	77	74	69	73	68
01/01/2008	17	63	72	78	74	69	73	68
01/01/2008	18	63	72	75	74	69	73	68
01/01/2008	19	63	72	78	74	69	73	68
01/01/2008	20	63	72	77	74	69	73	68
01/01/2008	21	63	72	75	74	69	74	68
01/01/2008	22	63	72	73	74	69	74	68
01/01/2008	23	63	72	72	74	70	73	68
01/02/2008	 0	64	72	72	74	69	73	68
01/02/2008	 1	64	72	72	74	69	73	68
01/02/2008	 2	64	72	72	74	69	73	68
01/02/2008	 3	64	72	72	74	69	74	68
01/02/2008	 4	64	72	72	74	69	74	68
01/02/2008	 5	64	72	71	74	69	74	68
01/02/2008	 6	64	72	71	74	69	74	68
01/02/2008	 7	64	72	71	74	69	74	68
01/02/2008	 8	64	72	71	74	69	74	68
01/02/2008	 9	66	72	71	74	70	73	67
01/02/2008	10	67	72	71	74	70	72	68
01/02/2008	11	67	72	71	74	70	72	68
01/02/2008	12	66	72	76	73	70	71	68
01/02/2008	13	66	72	77	73	70	71	68
01/02/2008	14	67	72	77	73	70	71	68
01/02/2008	15	68	72	77	73	70	71	68
01/02/2008	16	68	72	77	73	70	71	68
01/02/2008	17	68	72	77	72	70	71	68
01/02/2008	18	65	72	77	72	69	72	67
01/02/2008	19	65	72	77	72	70	72	67
01/02/2008	20	65	72	77	72	69	73	67
01/02/2008	21	64	72	77	72	69	73	67
01/02/2008	22	64	72	77	72	69	73	67
01/02/2008	23	64	72	77	72	69	73	67
01/03/2008	 0	64	72	77	72	69	73	67
01/03/2008	 1	64	72	77	72	69	73	67
01/03/2008	 2	64	72	77	72	69	73	68
01/03/2008	 3	64	72	78	74	69	73	67
01/03/2008	 4	64	72	78	74	69	73	67
01/03/2008	 5	64	72	78	74	69	73	67
01/03/2008	 6	64	72	78	74	69	73	67
01/03/2008	 7	65	72	74	74	69	73	68
01/03/2008	 8	64	72	73	74	70	73	67
01/03/2008	 9	66	72	73	74	70	73	67
01/03/2008	10	67	72	73	74	70	73	68
01/03/2008	11	66	72	72	74	70	72	68
01/03/2008	12	68	72	72	73	70	74	68
01/03/2008	13	68	72	72	73	69	73	68
01/03/2008	14	68	72	76	73	69	72	68
01/03/2008	15	68	72	76	72	69	73	68
01/03/2008	16	69	72	76	72	69	72	68
01/03/2008	17	68	72	77	73	69	71	68
01/03/2008	18	66	73	77	73	69	71	68
01/03/2008	19	66	73	77	73	69	71	68
01/03/2008	20	66	73	77	73	69	72	68
01/03/2008	21	65	73	77	73	69	73	68
01/03/2008	22	65	73	78	73	69	73	68
01/03/2008	23	65	73	78	74	69	73	68
01/04/2008	 0	65	73	79	74	69	73	68
01/04/2008	 1	65	73	79	74	69	73	68
01/04/2008	 2	65	73	79	74	70	73	68
01/04/2008	 3	65	73	79	74	69	73	68
01/04/2008	 4	65	73	79	74	69	73	68
01/04/2008	 5	65	73	79	73	69	73	67
01/04/2008	 6	65	73	76	73	69	73	67
01/04/2008	 7	65	73	75	74	69	73	67
01/04/2008	 8	65	72	74	74	69	73	67
01/04/2008	 9	67	72	74	74	69	73	67
01/04/2008	10	68	69	74	73	69	73	68
01/04/2008	11	68	69	76	73	70	73	68
01/04/2008	12	68	69	77	73	70	74	68
01/04/2008	13	68	69	77	72	70	73	68
01/04/2008	14	68	69	77	72	69	73	69
01/04/2008	15	68	71	77	72	69	73	69
01/04/2008	16	68	72	77	71	69	73	68
01/04/2008	17	67	72	77	71	70	73	68
01/04/2008	18	65	72	77	72	70	74	69
01/04/2008	19	65	72	77	72	70	74	69
01/04/2008	20	65	72	77	72	69	74	69
01/04/2008	21	67	73	80	73	70	73	70
01/04/2008	22	68	73	76	73	70	73	70
01/04/2008	23	68	73	75	73	70	73	70
01/05/2008	 0	68	73	75	72	70	73	70
01/05/2008	 1	68	73	74	72	70	73	70
01/05/2008	 2	68	74	74	73	70	73	71
01/05/2008	 3	68	74	74	73	70	73	71
01/05/2008	 4	68	74	74	73	70	73	71
01/05/2008	 5	68	74	75	73	70	73	71
01/05/2008	 6	68	74	75	73	70	73	71
01/05/2008	 7	69	74	75	73	70	73	71
01/05/2008	 8	69	74	75	73	70	73	71
01/05/2008	 9	69	74	75	73	70	73	71
01/05/2008	10	69	74	75	73	70	73	71
01/05/2008	11	69	74	75	73	70	73	71
01/05/2008	12	69	74	75	73	70	73	71
01/05/2008	13	69	75	75	73	70	73	71
01/05/2008	14	69	75	75	73	70	73	71
01/05/2008	15	70	75	75	73	70	73	71
01/05/2008	16	70	75	75	73	71	74	72
01/05/2008	17	70	75	75	74	72	74	72
01/05/2008	18	70	75	75	74	72	74	72
01/05/2008	19	70	75	75	74	73	74	72
01/05/2008	20	70	75	75	74	73	74	72
01/05/2008	21	70	75	75	74	73	74	72
01/05/2008	22	70	75	75	74	73	74	72
01/05/2008	23	70	75	75	74	72	74	72
01/06/2008	 0	70	75	76	74	72	74	72
01/06/2008	 1	70	75	76	74	72	74	72
01/06/2008	 2	70	75	76	74	72	74	72
01/06/2008	 3	70	76	76	74	73	74	72
